Circuit: * C:\Users\maksym\source\repos\Dohle\String Maschine\simulations\Draft2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 5.86835e-007 to 5.87836e-007
Heightened Def Con from 5.87836e-007 to 5.88961e-007
Heightened Def Con from 5.89899e-007 to 5.909e-007
Heightened Def Con from 5.909e-007 to 5.92025e-007
Heightened Def Con from 5.92963e-007 to 5.93963e-007
Heightened Def Con from 5.93964e-007 to 5.95089e-007
Heightened Def Con from 5.96027e-007 to 5.97027e-007
Heightened Def Con from 5.97028e-007 to 5.98153e-007
Heightened Def Con from 5.99091e-007 to 6.00091e-007
Heightened Def Con from 6.00092e-007 to 6.01217e-007
Heightened Def Con from 6.02155e-007 to 6.03156e-007
Heightened Def Con from 6.03156e-007 to 6.04281e-007
Heightened Def Con from 6.05219e-007 to 6.0622e-007
Heightened Def Con from 6.0622e-007 to 6.07345e-007
Heightened Def Con from 6.08284e-007 to 6.09284e-007
Heightened Def Con from 6.09284e-007 to 6.10409e-007
Heightened Def Con from 6.11348e-007 to 6.12348e-007
Heightened Def Con from 6.12349e-007 to 6.13474e-007
Heightened Def Con from 6.14412e-007 to 6.15412e-007
Heightened Def Con from 6.15413e-007 to 6.16538e-007
Heightened Def Con from 6.17476e-007 to 6.18476e-007
Heightened Def Con from 6.18477e-007 to 6.19602e-007
Heightened Def Con from 6.20541e-007 to 6.21541e-007
Heightened Def Con from 6.21541e-007 to 6.22666e-007
Heightened Def Con from 6.23605e-007 to 6.24605e-007
Heightened Def Con from 6.24606e-007 to 6.25731e-007
Heightened Def Con from 6.26669e-007 to 6.2767e-007
Heightened Def Con from 6.2767e-007 to 6.28795e-007
Heightened Def Con from 6.29734e-007 to 6.30734e-007
Heightened Def Con from 6.30735e-007 to 6.3186e-007
Heightened Def Con from 6.32798e-007 to 6.33798e-007
Heightened Def Con from 6.33799e-007 to 6.34924e-007
Heightened Def Con from 6.35863e-007 to 6.36863e-007
Heightened Def Con from 6.36864e-007 to 6.37989e-007
Heightened Def Con from 6.38927e-007 to 6.39927e-007
Heightened Def Con from 6.39928e-007 to 6.41053e-007
Heightened Def Con from 6.41992e-007 to 6.42992e-007
Heightened Def Con from 6.42993e-007 to 6.44118e-007
Heightened Def Con from 6.45056e-007 to 6.46056e-007
Heightened Def Con from 6.46057e-007 to 6.47182e-007
Heightened Def Con from 6.48121e-007 to 6.49121e-007
Heightened Def Con from 6.49122e-007 to 6.50247e-007
Heightened Def Con from 6.51185e-007 to 6.52186e-007
Heightened Def Con from 6.52186e-007 to 6.53311e-007
Heightened Def Con from 6.5425e-007 to 6.5525e-007
Heightened Def Con from 6.55251e-007 to 6.56376e-007
Heightened Def Con from 6.57315e-007 to 6.58315e-007
Heightened Def Con from 6.58315e-007 to 6.5944e-007
Heightened Def Con from 6.60379e-007 to 6.6138e-007
Heightened Def Con from 6.6138e-007 to 6.62505e-007
Heightened Def Con from 6.63444e-007 to 6.64444e-007
Heightened Def Con from 6.64445e-007 to 6.6557e-007
Heightened Def Con from 6.66509e-007 to 6.67509e-007
Heightened Def Con from 6.67509e-007 to 6.68634e-007
Heightened Def Con from 6.69573e-007 to 6.70574e-007
Heightened Def Con from 6.70574e-007 to 6.71699e-007
Heightened Def Con from 6.72638e-007 to 6.73638e-007
Heightened Def Con from 6.73639e-007 to 6.74764e-007
Heightened Def Con from 6.75703e-007 to 6.76703e-007
Heightened Def Con from 6.76704e-007 to 6.77829e-007
Heightened Def Con from 6.78767e-007 to 6.79768e-007
Heightened Def Con from 6.79768e-007 to 6.80893e-007
Heightened Def Con from 6.81832e-007 to 6.82832e-007
Heightened Def Con from 6.82833e-007 to 6.83958e-007
Heightened Def Con from 6.84897e-007 to 6.85897e-007
Heightened Def Con from 6.85898e-007 to 6.87023e-007
Heightened Def Con from 6.87962e-007 to 6.88962e-007
Heightened Def Con from 6.88963e-007 to 6.90088e-007
Heightened Def Con from 6.91027e-007 to 6.92027e-007
Heightened Def Con from 6.92027e-007 to 6.93152e-007
Heightened Def Con from 6.94091e-007 to 6.95092e-007
Heightened Def Con from 6.95092e-007 to 6.96217e-007
Heightened Def Con from 6.97156e-007 to 6.98156e-007
Heightened Def Con from 6.98157e-007 to 6.99282e-007
Heightened Def Con from 7.00221e-007 to 7.01221e-007
Heightened Def Con from 7.01222e-007 to 7.02347e-007
Heightened Def Con from 7.03286e-007 to 7.04286e-007
Heightened Def Con from 7.04287e-007 to 7.05412e-007
Heightened Def Con from 7.06351e-007 to 7.07351e-007
Heightened Def Con from 7.07352e-007 to 7.08477e-007
Heightened Def Con from 7.09415e-007 to 7.10416e-007
Heightened Def Con from 7.10416e-007 to 7.11541e-007
Heightened Def Con from 7.1248e-007 to 7.13481e-007
Heightened Def Con from 7.13481e-007 to 7.14606e-007
Heightened Def Con from 7.15545e-007 to 7.16545e-007
Heightened Def Con from 7.16546e-007 to 7.17671e-007
Heightened Def Con from 7.1861e-007 to 7.1961e-007
Heightened Def Con from 7.19611e-007 to 7.20736e-007
Heightened Def Con from 7.21675e-007 to 7.22675e-007
Heightened Def Con from 7.22676e-007 to 7.23801e-007
Heightened Def Con from 7.2474e-007 to 7.2574e-007
Heightened Def Con from 7.25741e-007 to 7.26866e-007
Heightened Def Con from 7.27805e-007 to 7.28805e-007
Heightened Def Con from 7.28806e-007 to 7.29931e-007
Heightened Def Con from 7.3087e-007 to 7.3187e-007
Heightened Def Con from 7.3187e-007 to 7.32995e-007
Heightened Def Con from 7.33934e-007 to 7.34935e-007
Heightened Def Con from 7.34935e-007 to 7.3606e-007
Heightened Def Con from 7.36999e-007 to 7.38e-007
Heightened Def Con from 7.38e-007 to 7.39125e-007
Heightened Def Con from 7.40064e-007 to 7.41064e-007
Heightened Def Con from 7.41065e-007 to 7.4219e-007
Heightened Def Con from 7.43129e-007 to 7.44129e-007
Heightened Def Con from 7.4413e-007 to 7.45255e-007
Heightened Def Con from 7.46194e-007 to 7.47194e-007
Heightened Def Con from 7.47195e-007 to 7.4832e-007
Heightened Def Con from 7.49259e-007 to 7.50259e-007
